[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/register            --> _/Users/weiqizhou/task/gin/api.Register (3 handlers)
[GIN-debug] POST   /user/edit                --> _/Users/weiqizhou/task/gin/api.Edit (3 handlers)
[GIN-debug] POST   /user/login               --> _/Users/weiqizhou/task/gin/api.Login (3 handlers)
[GIN-debug] POST   /user/info                --> _/Users/weiqizhou/task/gin/api.GetInfo (3 handlers)
[GIN] 2020/07/30 - 16:51:52 | 200 |   50.985833ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   56.774489ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   57.028829ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   56.873345ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   45.011284ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   44.547806ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.760802ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    51.71314ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.293112ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.514054ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.532281ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.551643ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   51.726883ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    51.76595ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.914721ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.084183ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.332231ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    51.96487ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.222204ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   51.912556ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   47.120765ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.465651ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   54.139481ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    52.27256ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.227729ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.618856ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.354174ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.955807ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.614874ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   52.328108ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   53.757875ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   56.961147ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   39.196204ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   54.922435ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   57.172944ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    66.20238ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   57.734015ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    57.17627ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    64.62545ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   57.626119ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.519686ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    58.12714ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   58.282902ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   65.940091ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   63.956546ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.808065ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.380582ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   58.748067ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.097064ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   59.455149ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.229703ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    63.99928ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.048366ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   59.669649ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.775869ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   64.133472ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   42.044861ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   61.904283ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   69.032598ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   68.985856ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   64.102214ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.812183ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   22.394193ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   64.970739ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   65.061801ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   69.398751ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.345322ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   64.621194ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   63.836844ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.787229ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.290995ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   65.183117ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   65.150475ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.199952ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.157889ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   71.549635ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   71.633125ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    74.07483ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   22.722399ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   23.134244ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   20.304993ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   66.997847ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   24.871366ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   22.995988ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   71.861136ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   24.048961ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    67.95626ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   24.536877ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   19.646662ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.452202ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   70.937883ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   27.223743ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   67.381519ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |    68.66013ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   71.099731ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |     21.7837ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   70.810393ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   24.375564ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   20.753269ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   71.292909ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |     21.1158ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   73.532529ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   22.488123ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   23.347915ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   24.519347ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   28.105613ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   30.554828ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   74.426435ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   73.306878ms |       127.0.0.1 | POST     "/user/info"
[GIN] 2020/07/30 - 16:51:52 | 200 |   33.481548ms |       127.0.0.1 | POST     "/user/info"
